vehicle_id,timestamp,engine_temperature,battery_voltage,vibration,brake_temperature,speed,mileage,fault_code,maintenance_required
VH002,2026-09-08 17:30:00,91.61,12.19,7.06,86.19,79,66700,F000,No
VH001,2026-09-08 17:35:00,92.31,11.93,7.45,64.22,61,29887,F002,Yes
VH004,2026-09-08 17:40:00,99.7,11.54,1.89,83.42,63,33018,F002,No
VH004,2026-09-08 17:45:00,105.06,12.5,6.51,63.6,66,98718,F001,No
VH005,2026-09-08 17:50:00,92.87,12.54,4.7,75.55,52,41296,F000,No
VH002,2026-09-08 17:55:00,99.26,12.0,2.54,117.87,86,35844,F000,No
VH002,2026-09-08 18:00:00,101.34,12.64,8.14,62.92,81,40916,F000,Yes
VH002,2026-09-08 18:05:00,85.8,12.87,5.26,117.26,42,29901,F000,No
VH005,2026-09-08 18:10:00,108.33,12.94,1.04,118.76,75,70930,F000,Yes
VH002,2026-09-08 18:15:00,103.67,12.02,7.06,105.27,30,99961,F002,Yes
VH002,2026-09-08 18:20:00,80.69,11.57,5.29,69.44,93,14870,F000,No
VH003,2026-09-08 18:25:00,99.85,12.77,3.29,85.51,65,23496,F000,No
VH002,2026-09-08 18:30:00,94.95,12.35,3.97,104.14,35,41131,F000,No
VH003,2026-09-08 18:35:00,100.79,12.63,4.23,70.85,93,70392,F000,No
VH005,2026-09-08 18:40:00,99.79,11.5,1.66,75.02,50,52107,F002,No
VH002,2026-09-08 18:45:00,86.4,12.36,8.2,112.38,23,32245,F001,Yes
VH001,2026-09-08 18:50:00,81.24,12.31,3.07,85.03,26,60687,F001,No
VH001,2026-09-08 18:55:00,85.46,11.98,3.78,89.17,25,87604,F002,No
VH004,2026-09-08 19:00:00,90.07,12.13,3.86,84.48,35,21097,F002,No
VH003,2026-09-08 19:05:00,83.46,12.08,2.07,62.56,91,61638,F001,No
VH004,2026-09-08 19:10:00,103.5,12.26,4.38,64.9,61,16731,F002,No
VH005,2026-09-08 19:15:00,83.17,11.83,2.97,63.17,38,76581,F000,No
VH002,2026-09-08 19:20:00,104.44,12.94,4.95,106.46,55,53667,F000,Yes
VH005,2026-09-08 19:25:00,95.63,11.54,4.73,118.93,93,38941,F000,Yes
VH004,2026-09-08 19:30:00,106.57,12.74,7.55,107.84,69,93869,F002,Yes
VH003,2026-09-08 19:35:00,105.03,12.79,4.75,87.34,21,94129,F001,No
VH005,2026-09-08 19:40:00,80.81,11.69,8.04,114.93,95,32864,F000,Yes
VH002,2026-09-08 19:45:00,98.78,11.86,8.99,101.45,53,15057,F001,Yes
VH003,2026-09-08 19:50:00,85.59,12.88,2.21,113.42,87,77048,F000,No
VH004,2026-09-08 19:55:00,87.24,12.53,5.12,94.69,38,40268,F002,No
VH002,2026-09-08 20:00:00,88.36,12.5,4.29,79.95,26,17970,F000,No
VH004,2026-09-08 20:05:00,92.87,12.6,1.15,107.89,35,21522,F002,No
VH001,2026-09-08 20:10:00,109.61,12.57,2.72,87.12,89,55414,F002,No
VH001,2026-09-08 20:15:00,83.55,12.62,2.44,85.23,63,17868,F001,No
VH005,2026-09-08 20:20:00,82.28,12.68,3.26,97.11,52,59717,F001,No
VH001,2026-09-08 20:25:00,95.81,11.56,6.59,77.99,34,97538,F002,No
VH005,2026-09-08 20:30:00,80.27,12.53,2.48,66.39,82,17833,F002,No
VH001,2026-09-08 20:35:00,87.58,11.57,8.25,75.68,64,98872,F001,Yes
VH004,2026-09-08 20:40:00,91.32,12.59,6.97,102.96,27,77250,F001,No
VH004,2026-09-08 20:45:00,99.74,11.61,6.3,94.76,56,33849,F001,No
VH005,2026-09-08 20:50:00,89.95,11.75,2.26,68.37,90,75185,F001,No
VH002,2026-09-08 20:55:00,108.33,12.74,6.06,76.57,75,12104,F000,No
VH001,2026-09-08 21:00:00,109.49,12.12,3.52,82.32,85,43996,F000,No
VH002,2026-09-08 21:05:00,87.17,12.0,7.57,63.14,52,56399,F000,No
VH004,2026-09-08 21:10:00,94.18,12.36,6.31,91.64,92,24968,F000,No
VH001,2026-09-08 21:15:00,86.2,12.52,5.59,94.8,31,84617,F000,No
VH001,2026-09-08 21:20:00,81.0,11.78,5.05,96.26,71,26571,F001,No
VH003,2026-09-08 21:25:00,92.15,11.96,7.55,77.9,65,60593,F000,Yes
VH001,2026-09-08 21:30:00,93.86,12.06,7.98,69.46,41,68412,F001,No
VH005,2026-09-08 21:35:00,93.43,12.86,7.51,109.24,42,92349,F000,Yes
VH005,2026-09-08 21:40:00,101.17,12.82,3.62,101.82,47,60780,F000,Yes
VH004,2026-09-08 21:45:00,106.74,12.86,7.23,90.76,49,83086,F000,Yes
VH005,2026-09-08 21:50:00,94.75,12.7,3.46,64.36,52,76713,F001,No
VH004,2026-09-08 21:55:00,83.75,12.3,3.87,116.27,64,68523,F001,No
VH001,2026-09-08 22:00:00,98.73,12.13,7.16,98.35,59,87298,F002,No
VH001,2026-09-08 22:05:00,82.41,12.35,1.63,116.81,31,66944,F002,No
VH001,2026-09-08 22:10:00,103.01,12.74,1.3,66.93,34,81650,F001,No
VH002,2026-09-08 22:15:00,103.91,11.84,8.0,65.5,94,96650,F001,Yes
VH005,2026-09-08 22:20:00,81.01,11.88,2.56,112.45,32,78145,F002,Yes
VH004,2026-09-08 22:25:00,102.08,12.88,2.0,95.38,79,48386,F002,No
VH003,2026-09-08 22:30:00,84.33,11.51,3.25,60.11,88,28880,F000,No
VH001,2026-09-08 22:35:00,106.04,12.12,8.04,100.09,36,72179,F000,Yes
VH003,2026-09-08 22:40:00,103.32,11.67,5.49,96.61,48,52440,F000,Yes
VH005,2026-09-08 22:45:00,93.53,12.27,6.98,111.94,95,96176,F002,No
VH002,2026-09-08 22:50:00,104.75,12.07,2.45,103.04,85,94430,F000,Yes
VH002,2026-09-08 22:55:00,85.59,11.79,5.19,68.31,50,83426,F001,No
VH002,2026-09-08 23:00:00,99.29,12.61,7.49,67.36,29,82141,F000,No
VH003,2026-09-08 23:05:00,80.7,12.68,6.03,118.07,81,92535,F001,No
VH003,2026-09-08 23:10:00,105.49,12.94,8.0,114.89,83,33493,F000,Yes
VH002,2026-09-08 23:15:00,104.58,12.59,2.06,97.06,73,11359,F000,No
VH003,2026-09-08 23:20:00,106.35,11.63,5.5,83.13,47,49152,F001,Yes
VH002,2026-09-08 23:25:00,87.52,12.66,6.85,66.14,40,57633,F001,No
VH004,2026-09-08 23:30:00,82.87,11.68,5.6,62.19,67,42570,F000,No
VH003,2026-09-08 23:35:00,93.03,11.88,4.28,78.6,48,54842,F001,No
VH004,2026-09-08 23:40:00,86.62,12.25,3.4,81.33,32,15566,F002,No
VH002,2026-09-08 23:45:00,85.11,12.62,1.84,81.34,71,64397,F000,No
VH003,2026-09-08 23:50:00,80.09,12.84,2.02,69.88,68,96628,F001,No
VH003,2026-09-08 23:55:00,109.85,12.85,7.55,91.4,76,80221,F000,Yes
VH004,2026-09-09 00:00:00,107.71,12.45,5.11,113.32,59,64939,F002,Yes
VH001,2026-09-09 00:05:00,89.15,12.99,6.47,89.09,42,10277,F001,No
VH004,2026-09-09 00:10:00,107.37,11.96,8.17,87.53,61,92617,F000,Yes
VH004,2026-09-09 00:15:00,96.01,11.82,8.77,112.88,75,82938,F002,Yes
VH002,2026-09-09 00:20:00,97.91,12.07,6.31,102.91,69,63125,F000,No
VH005,2026-09-09 00:25:00,84.03,12.1,6.7,72.71,39,63322,F000,No
VH002,2026-09-09 00:30:00,96.81,11.63,6.96,80.8,30,83623,F000,No
VH002,2026-09-09 00:35:00,87.4,11.88,2.87,115.66,57,37214,F001,Yes
VH005,2026-09-09 00:40:00,94.8,12.96,3.76,81.13,87,90154,F001,No
VH004,2026-09-09 00:45:00,90.51,11.81,7.72,102.54,44,34378,F002,Yes
VH004,2026-09-09 00:50:00,102.5,11.51,8.54,70.33,92,38550,F000,Yes
VH005,2026-09-09 00:55:00,98.36,11.58,2.29,60.9,29,77210,F002,No
VH002,2026-09-09 01:00:00,89.36,11.64,2.22,79.63,91,62440,F002,No
VH001,2026-09-09 01:05:00,85.29,12.86,3.59,81.26,71,17731,F000,No
VH002,2026-09-09 01:10:00,109.8,11.83,8.9,104.81,96,29192,F002,Yes
VH001,2026-09-09 01:15:00,88.93,12.19,7.5,106.29,20,74006,F000,Yes
VH002,2026-09-09 01:20:00,83.0,12.84,6.16,73.87,27,44390,F002,No
VH003,2026-09-09 01:25:00,101.46,12.58,6.67,119.76,91,22782,F001,Yes
VH002,2026-09-09 01:30:00,103.26,12.5,1.12,71.62,24,43864,F000,No
VH002,2026-09-09 01:35:00,91.82,12.68,7.28,90.09,62,61868,F002,No
VH005,2026-09-09 01:40:00,100.36,11.64,3.69,77.8,46,89837,F002,Yes
VH001,2026-09-09 01:45:00,108.01,12.04,1.72,118.53,65,41807,F002,Yes
VH005,2026-09-09 01:50:00,106.96,11.95,1.14,97.13,39,45630,F002,Yes
VH002,2026-09-09 01:55:00,106.09,12.49,4.38,109.6,79,33147,F000,Yes
VH004,2026-09-09 02:00:00,99.88,11.69,6.99,72.38,47,83419,F002,No
VH002,2026-09-09 02:05:00,97.44,12.56,5.14,77.94,27,20824,F002,No
VH002,2026-09-09 02:10:00,86.32,12.63,5.74,97.8,57,29815,F001,No
VH004,2026-09-09 02:15:00,101.58,11.97,6.3,87.97,88,66306,F001,Yes
VH005,2026-09-09 02:20:00,87.41,12.29,8.6,101.44,47,39203,F001,Yes
VH004,2026-09-09 02:25:00,98.82,12.49,4.9,85.26,34,70826,F002,No
VH005,2026-09-09 02:30:00,85.36,12.13,4.52,60.92,75,20646,F001,No
VH003,2026-09-09 02:35:00,99.18,11.54,2.39,98.45,87,99221,F001,No
VH001,2026-09-09 02:40:00,106.86,12.71,2.7,117.22,70,59985,F001,Yes
VH005,2026-09-09 02:45:00,109.7,12.87,7.26,100.21,90,93024,F002,Yes
VH003,2026-09-09 02:50:00,105.91,11.9,1.3,106.61,72,29349,F000,Yes
VH004,2026-09-09 02:55:00,94.84,12.38,8.78,77.86,70,33465,F000,No
VH005,2026-09-09 03:00:00,96.94,11.74,1.15,116.34,59,48963,F000,Yes
VH001,2026-09-09 03:05:00,101.93,11.79,2.25,103.03,61,59492,F001,Yes
VH005,2026-09-09 03:10:00,97.0,12.34,6.9,79.28,45,48355,F001,No
VH004,2026-09-09 03:15:00,94.21,12.17,6.64,117.71,59,15897,F000,No
VH002,2026-09-09 03:20:00,104.79,11.55,8.45,104.93,68,68345,F002,Yes
VH003,2026-09-09 03:25:00,84.2,11.91,6.92,77.19,52,31144,F001,No
VH003,2026-09-09 03:30:00,100.73,11.98,4.84,79.26,97,10036,F002,Yes
VH005,2026-09-09 03:35:00,102.13,12.39,7.67,80.38,92,95761,F002,Yes
VH003,2026-09-09 03:40:00,97.78,11.73,1.33,90.44,26,51430,F000,No
VH001,2026-09-09 03:45:00,107.62,12.37,7.96,105.94,94,68033,F001,Yes
VH003,2026-09-09 03:50:00,106.89,12.44,8.54,107.76,63,41388,F000,Yes
VH001,2026-09-09 03:55:00,85.42,12.0,6.37,102.68,43,63258,F001,No
VH005,2026-09-09 04:00:00,105.24,12.93,8.32,89.11,70,74872,F000,Yes
VH003,2026-09-09 04:05:00,105.2,11.8,7.56,104.61,74,98274,F000,Yes
VH005,2026-09-09 04:10:00,81.6,11.74,3.76,60.17,86,42018,F002,No
VH001,2026-09-09 04:15:00,103.16,12.15,8.56,79.41,98,43082,F002,Yes
VH001,2026-09-09 04:20:00,104.62,12.57,5.18,114.58,100,64905,F000,Yes
VH002,2026-09-09 04:25:00,83.19,12.57,7.53,68.37,88,94199,F002,No
VH004,2026-09-09 04:30:00,94.77,12.07,6.64,74.63,61,12806,F000,No
VH005,2026-09-09 04:35:00,97.38,11.86,7.56,66.86,71,51884,F002,Yes
VH003,2026-09-09 04:40:00,107.22,11.71,3.59,93.42,75,29771,F001,Yes
VH001,2026-09-09 04:45:00,96.51,11.85,6.61,63.1,38,27940,F000,No
VH003,2026-09-09 04:50:00,104.49,12.71,6.29,99.7,42,29141,F000,No
VH004,2026-09-09 04:55:00,87.28,11.89,6.94,117.23,90,27182,F001,Yes
VH004,2026-09-09 05:00:00,84.34,12.93,3.26,108.12,44,27345,F002,No
VH002,2026-09-09 05:05:00,98.52,12.88,4.76,71.63,34,51050,F000,No
VH003,2026-09-09 05:10:00,99.21,12.35,7.4,68.84,28,29458,F001,No
VH001,2026-09-09 05:15:00,109.15,11.67,7.15,96.74,74,64828,F001,Yes
VH004,2026-09-09 05:20:00,101.09,11.61,5.26,61.42,58,17392,F000,Yes
VH003,2026-09-09 05:25:00,103.74,11.73,1.28,101.56,74,30930,F001,Yes
VH002,2026-09-09 05:30:00,91.8,12.0,8.1,111.54,25,11896,F002,Yes
VH003,2026-09-09 05:35:00,102.63,12.54,1.09,97.54,28,20480,F000,No
VH004,2026-09-09 05:40:00,80.95,12.69,6.0,116.34,53,58043,F002,No
VH001,2026-09-09 05:45:00,107.42,11.64,5.89,93.95,44,70402,F002,Yes
VH004,2026-09-09 05:50:00,99.57,12.57,4.39,77.53,87,92309,F002,No
VH005,2026-09-09 05:55:00,85.67,12.35,4.97,118.15,91,84483,F002,No
VH004,2026-09-09 06:00:00,103.1,12.74,6.97,103.39,49,23658,F002,Yes
VH005,2026-09-09 06:05:00,101.94,12.21,6.46,99.3,81,17044,F000,No
VH001,2026-09-09 06:10:00,84.73,12.22,1.38,102.42,79,77173,F001,No
VH003,2026-09-09 06:15:00,89.59,12.8,7.4,109.28,97,55146,F000,Yes
VH001,2026-09-09 06:20:00,100.08,12.18,2.54,63.77,83,80269,F002,No
VH004,2026-09-09 06:25:00,95.51,11.92,1.31,98.31,90,94817,F000,No
VH003,2026-09-09 06:30:00,82.66,12.89,1.17,104.46,23,73981,F002,No
VH003,2026-09-09 06:35:00,95.19,12.73,1.55,65.88,80,83871,F002,No
VH001,2026-09-09 06:40:00,98.8,11.51,6.64,78.77,60,58876,F002,No
VH005,2026-09-09 06:45:00,108.87,12.26,1.37,76.69,48,24670,F000,No
VH005,2026-09-09 06:50:00,107.84,12.25,5.43,94.76,64,27604,F002,No
VH001,2026-09-09 06:55:00,108.52,12.11,7.41,96.04,52,70430,F000,Yes
VH001,2026-09-09 07:00:00,109.73,12.58,2.51,89.92,44,91871,F001,No
VH003,2026-09-09 07:05:00,103.62,12.57,2.68,64.59,74,81952,F002,No
VH001,2026-09-09 07:10:00,95.72,11.65,7.58,65.72,78,13702,F002,Yes
VH004,2026-09-09 07:15:00,94.73,12.91,5.87,100.99,48,43498,F000,No
VH002,2026-09-09 07:20:00,108.08,11.85,2.29,87.83,59,27274,F000,Yes
VH002,2026-09-09 07:25:00,105.12,11.89,3.3,114.31,68,47073,F001,Yes
VH002,2026-09-09 07:30:00,105.01,12.41,3.98,118.5,65,35934,F002,Yes
VH003,2026-09-09 07:35:00,81.81,12.86,2.16,91.27,26,46841,F001,No
VH002,2026-09-09 07:40:00,103.58,12.9,2.09,112.36,84,13868,F002,Yes
VH002,2026-09-09 07:45:00,91.31,11.57,8.94,112.72,85,72347,F002,Yes
VH001,2026-09-09 07:50:00,100.18,12.56,5.78,62.67,76,43920,F002,No
VH001,2026-09-09 07:55:00,88.28,11.72,8.37,88.99,44,26513,F001,Yes
VH005,2026-09-09 08:00:00,87.34,11.55,2.34,92.3,38,28895,F002,No
VH005,2026-09-09 08:05:00,88.87,12.45,3.52,86.14,91,63877,F002,No
VH001,2026-09-09 08:10:00,91.22,12.75,7.91,72.46,22,81581,F001,No
VH003,2026-09-09 08:15:00,91.08,12.12,1.36,112.52,79,35187,F002,No
VH004,2026-09-09 08:20:00,86.19,12.19,8.42,73.78,48,75040,F002,No
VH001,2026-09-09 08:25:00,82.82,12.62,4.4,72.17,99,60167,F001,No
VH001,2026-09-09 08:30:00,82.4,12.64,1.2,109.33,47,42164,F002,No
VH003,2026-09-09 08:35:00,88.19,12.89,1.38,79.92,72,82570,F000,No
VH004,2026-09-09 08:40:00,109.24,11.59,4.91,64.41,30,65580,F000,Yes
VH003,2026-09-09 08:45:00,97.6,11.98,5.26,99.98,61,75187,F002,No
VH003,2026-09-09 08:50:00,95.91,11.84,1.88,92.8,78,53336,F001,No
VH001,2026-09-09 08:55:00,99.79,12.65,4.79,66.38,52,44191,F001,No
VH005,2026-09-09 09:00:00,93.01,12.71,1.98,66.57,29,32934,F002,No
VH005,2026-09-09 09:05:00,83.34,11.82,4.08,118.22,56,18501,F002,Yes
VH001,2026-09-09 09:10:00,90.09,11.8,7.82,73.81,78,12298,F000,Yes
VH005,2026-09-09 09:15:00,104.54,12.62,1.9,86.94,47,63344,F000,No
VH001,2026-09-09 09:20:00,100.32,11.83,2.37,68.31,43,71644,F000,Yes
VH004,2026-09-09 09:25:00,85.4,12.39,4.01,93.86,95,89915,F000,No
VH005,2026-09-09 09:30:00,108.15,12.46,7.72,93.21,91,25395,F001,Yes
VH005,2026-09-09 09:35:00,98.4,11.87,3.68,97.2,53,77881,F002,No
VH002,2026-09-09 09:40:00,92.11,12.68,1.8,101.7,58,93910,F000,No
VH004,2026-09-09 09:45:00,105.04,11.68,6.92,62.3,54,57850,F001,Yes
VH002,2026-09-09 09:50:00,91.42,12.53,6.75,113.88,43,41030,F001,No
VH004,2026-09-09 09:55:00,99.16,12.03,6.26,102.28,34,77340,F002,No
VH001,2026-09-09 10:00:00,94.89,11.91,3.3,106.02,48,14003,F002,Yes
VH005,2026-09-09 10:05:00,106.99,12.26,2.01,111.5,91,23519,F000,Yes
VH003,2026-09-09 10:10:00,99.15,12.99,7.43,96.28,90,63344,F000,No
VH001,2026-09-09 10:15:00,104.77,11.96,8.92,62.19,98,32738,F001,Yes
VH003,2026-09-09 10:20:00,85.21,12.59,4.51,69.05,83,44178,F001,No
VH005,2026-09-09 10:25:00,91.3,12.07,6.61,119.15,83,78641,F000,No
VH002,2026-09-09 10:30:00,88.43,12.17,8.42,118.62,51,18856,F001,Yes
VH004,2026-09-09 10:35:00,102.21,12.35,6.75,102.34,29,82569,F001,Yes
VH003,2026-09-09 10:40:00,81.95,12.16,8.1,116.42,48,35958,F002,Yes
VH001,2026-09-09 10:45:00,96.29,11.73,3.36,66.34,42,46648,F000,No
VH003,2026-09-09 10:50:00,81.91,12.03,4.33,70.46,56,49151,F001,No
VH002,2026-09-09 10:55:00,89.32,12.41,3.66,63.31,56,36840,F002,No
VH001,2026-09-09 11:00:00,93.09,12.23,6.71,95.18,77,26786,F000,No
VH003,2026-09-09 11:05:00,81.2,11.62,1.03,81.85,20,37698,F001,No
VH004,2026-09-09 11:10:00,81.93,12.19,4.85,66.5,52,30422,F000,No
VH003,2026-09-09 11:15:00,81.63,11.56,1.64,61.88,26,77496,F001,No
VH005,2026-09-09 11:20:00,104.5,12.62,7.8,117.32,95,81713,F002,Yes
